PERP_ID,VICTIM_ID,INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lon_Lat,MASS_SHOOTING
1,0,227950661,5/9/21,2:50:00,BRONX,41,2,MULTI DWELL - PUBLIC HOUS,True,25-44,M,BLACK,25-44,M,BLACK HISPANIC,1014642.0,240068.0,40.82556269,-73.89018729,POINT (-73.89018728699995 40.82556269400004),no
2,1,225438895,3/10/21,7:30:00,MANHATTAN,28,0,MULTI DWELL - APT BUILD,False,25-44,M,BLACK,18-24,M,BLACK,998054.0,232172.0,40.80393188,-73.95014024,POINT (-73.95014024399995 40.80393187900006),no
3,2,232193235,8/13/21,1:00:00,QUEENS,109,0,BAR/NIGHT CLUB,True,18-24,M,BLACK,18-24,F,BLACK,1031552.0,216518.0,40.76085005,-73.82925307,POINT (-73.82925306599996 40.760850049000055),yes
4,3,225168410,3/4/21,13:17:00,BRONX,40,2,MULTI DWELL - PUBLIC HOUS,False,25-44,M,BLACK,25-44,M,BLACK,1007292.0,238953.0,40.82252457,-73.91674855,POINT (-73.91674854999997 40.82252456800006),no
5,4,231965278,8/7/21,23:57:00,BRONX,42,2,MULTI DWELL - PUBLIC HOUS,True,<18,M,WHITE HISPANIC,<18,M,BLACK,1011489.0,239285.0,40.82342387,-73.90158306,POINT (-73.90158306099994 40.823423869000074),no
6,5,225779049,3/17/21,22:09:00,BRONX,52,0,MULTI DWELL - APT BUILD,True,18-24,F,BLACK,18-24,F,WHITE HISPANIC,1019141.0,259102.0,40.87778871,-73.8738322,POINT (-73.87383219999998 40.87778870600005),yes
7,6,223553538,1/26/21,9:03:00,MANHATTAN,23,2,MULTI DWELL - PUBLIC HOUS,True,18-24,M,BLACK,25-44,F,BLACK,998700.0,228774.0,40.79460426,-73.94781415,POINT (-73.94781414999993 40.794604263000046),no
8,7,227496844,4/28/21,9:10:00,BRONX,46,0,MULTI DWELL - APT BUILD,False,25-44,M,BLACK,25-44,F,BLACK,1005725.0,249742.0,40.85214119,-73.92237572,POINT (-73.92237572199997 40.85214118700002),no
9,8,236254076,11/13/21,16:59:00,BRONX,44,0,BAR/NIGHT CLUB,False,18-24,M,BLACK,25-44,M,BLACK HISPANIC,1006999.0,245897.0,40.84158461,-73.91778364,POINT (-73.91778363799993 40.841584606000026),yes
10,9,226450222,4/2/21,13:25:00,BROOKLYN,61,2,MULTI DWELL - PUBLIC HOUS,False,18-24,M,BLACK,18-24,M,BLACK,995118.0,155709.0,40.59406298,-73.96086869,POINT (-73.96086869299995 40.59406298000005),no
