BORO,LOCATION_DESC,PRECINCT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lon_Lat
BRONX,MULTI DWELL - PUBLIC HOUS,41,1014642,240068,40.82556269,-73.89018729,POINT (-73.89018728699995 40.82556269400004)
MANHATTAN,MULTI DWELL - APT BUILD,28,998054,232172,40.80393188,-73.95014024,POINT (-73.95014024399995 40.80393187900006)
QUEENS,BAR/NIGHT CLUB,109,1031552,216518,40.76085005,-73.82925307,POINT (-73.82925306599996 40.760850049000055)
BRONX,MULTI DWELL - PUBLIC HOUS,40,1007292,238953,40.82252457,-73.91674855,POINT (-73.91674854999997 40.82252456800006)
BRONX,MULTI DWELL - PUBLIC HOUS,42,1011489,239285,40.82342387,-73.90158306,POINT (-73.90158306099994 40.823423869000074)
BRONX,MULTI DWELL - APT BUILD,52,1019141,259102,40.87778871,-73.8738322,POINT (-73.87383219999998 40.87778870600005)
MANHATTAN,MULTI DWELL - PUBLIC HOUS,23,998700,228774,40.79460426,-73.94781415,POINT (-73.94781414999993 40.794604263000046)
BRONX,MULTI DWELL - APT BUILD,46,1005725,249742,40.85214119,-73.92237572,POINT (-73.92237572199997 40.85214118700002)
BRONX,BAR/NIGHT CLUB,44,1006999,245897,40.84158461,-73.91778364,POINT (-73.91778363799993 40.841584606000026)
BROOKLYN,MULTI DWELL - PUBLIC HOUS,61,995118,155709,40.59406298,-73.96086869,POINT (-73.96086869299995 40.59406298000005)
BROOKLYN,MULTI DWELL - APT BUILD,71,995792,178767,40.6573515,-73.95840238,POINT (-73.95840237599998 40.65735150300002)
MANHATTAN,GROCERY/BODEGA,34,1005596,254339,40.86475888,-73.92282738,POINT (-73.92282737999993 40.86475888300004)
MANHATTAN,MULTI DWELL - PUBLIC HOUS,23,999876,225984,40.78694446,-73.94357343,POINT (-73.94357342599994 40.78694446300005)
MANHATTAN,MULTI DWELL - PUBLIC HOUS,23,999876,225984,40.78694446,-73.94357343,POINT (-73.94357342599994 40.78694446300005)
BROOKLYN,MULTI DWELL - PUBLIC HOUS,73,1010363,182581,40.66778911,-73.9058716,POINT (-73.90587160499997 40.667789106000036)
BROOKLYN,MULTI DWELL - PUBLIC HOUS,81,1004019,190208,40.68873993,-73.92871751,POINT (-73.92871751299998 40.68873993000005)
BROOKLYN,MULTI DWELL - APT BUILD,73,1010754,179173,40.65843374,-73.90447556,POINT (-73.90447555999998 40.65843374200006)
BROOKLYN,MULTI DWELL - APT BUILD,77,1004975,183973,40.67162409,-73.9252895,POINT (-73.925289503 40.67162408600007)
BRONX,GAS STATION,48,1011588,247981,40.84729156,-73.90118992,POINT (-73.90118991899999 40.84729155900004)
MANHATTAN,GROCERY/BODEGA,34,1003268,249041,40.85022278,-73.93125903,POINT (-73.93125903099997 40.85022278400004)
BROOKLYN,MULTI DWELL - APT BUILD,72,981882,172418,40.63993207,-74.00853383,POINT (-74.00853383399993 40.63993207400005)
QUEENS,MULTI DWELL - PUBLIC HOUS,114,999925,214507,40.75544301,-73.94342325,POINT (-73.94342324599995 40.755443005000075)
BRONX,MULTI DWELL - APT BUILD,52,1019141,259102,40.87778871,-73.8738322,POINT (-73.87383219999998 40.87778870600005)
BROOKLYN,MULTI DWELL - PUBLIC HOUS,60,984421,148363,40.57390632,-73.9993859,POINT (-73.99938589899993 40.57390632400006)
BRONX,MULTI DWELL - PUBLIC HOUS,42,1010810,244029,40.83644685,-73.9040176,POINT (-73.90401760099996 40.83644685100006)
BRONX,COMMERCIAL BLDG,41,1015966,235235,40.81229282,-73.88542618,POINT (-73.885426178 40.812292824000046)
QUEENS,MULTI DWELL - APT BUILD,101,1049812,156595,40.59625905,-73.76392226,POINT (-73.76392225799998 40.59625904800004)
QUEENS,BAR/NIGHT CLUB,109,1031552,216518,40.76085005,-73.82925307,POINT (-73.82925306599996 40.760850049000055)
BROOKLYN,BAR/NIGHT CLUB,90,1001951,195081,40.70211956,-73.93616159,POINT (-73.93616159099997 40.70211956100008)
BRONX,MULTI DWELL - PUBLIC HOUS,40,1007373,232752,40.80550435,-73.91647725,POINT (-73.91647725199994 40.80550434700007)
BRONX,DEPT STORE,44,1007961,246839,40.84416759,-73.91430352,POINT (-73.91430351799994 40.84416759000004)
MANHATTAN,MULTI DWELL - PUBLIC HOUS,28,998362,231048,40.80084632,-73.94903008,POINT (-73.94903008499993 40.800846321000044)
BRONX,COMMERCIAL BLDG,47,1026375,262353,40.88668011,-73.84765295,POINT (-73.84765295399995 40.88668011400005)
BRONX,MULTI DWELL - PUBLIC HOUS,42,1012335,240637,40.82713207,-73.89852069,POINT (-73.89852068599998 40.82713207300003)
QUEENS,PVT HOUSE,101,1046325,156118,40.59497489,-73.77648276,POINT (-73.77648276299993 40.59497489300003)
QUEENS,PVT HOUSE,101,1046325,156118,40.59497489,-73.77648276,POINT (-73.77648276299993 40.59497489300003)
QUEENS,PVT HOUSE,115,1019626,218912,40.76747672,-73.87229027,POINT (-73.87229027099994 40.76747671700008)
BROOKLYN,MULTI DWELL - PUBLIC HOUS,81,1005141,187645,40.68170251,-73.9246797,POINT (-73.92467970499997 40.68170250500003)
BROOKLYN,MULTI DWELL - APT BUILD,83,1006515,195061,40.70205436,-73.91970129,POINT (-73.91970128999998 40.70205435900005)
BRONX,COMMERCIAL BLDG,47,1027797,263072,40.88864664,-73.84250551,POINT (-73.84250551099996 40.88864663800007)
BRONX,GROCERY/BODEGA,47,1024708,266922,40.89922836,-73.85365418,POINT (-73.85365417799993 40.89922835500005)
MANHATTAN,MULTI DWELL - PUBLIC HOUS,26,996279,235478,40.81300853,-73.95654577,POINT (-73.95654576899994 40.81300852900005)
MANHATTAN,GROCERY/BODEGA,34,1005596,254339,40.86475888,-73.92282738,POINT (-73.92282737999993 40.86475888300004)
BRONX,MULTI DWELL - PUBLIC HOUS,43,1026999,237853,40.81943199,-73.84555243,POINT (-73.84555243499993 40.81943199400007)
MANHATTAN,MULTI DWELL - APT BUILD,33,1001388,245170,40.83960187,-73.93806436,POINT (-73.93806436499993 40.83960187400004)
BRONX,MULTI DWELL - PUBLIC HOUS,47,1027062,262581,40.8873026,-73.84516691,POINT (-73.84516691 40.88730259600004)
BRONX,BEAUTY/NAIL SALON,48,1014565,250748,40.85487643,-73.89041723,POINT (-73.89041723299994 40.85487643000005)
BRONX,COMMERCIAL BLDG,41,1015966,235235,40.81229282,-73.88542618,POINT (-73.885426178 40.812292824000046)
MANHATTAN,GROCERY/BODEGA,34,1003268,249041,40.85022278,-73.93125903,POINT (-73.93125903099997 40.85022278400004)
BRONX,BAR/NIGHT CLUB,44,1006999,245897,40.84158461,-73.91778364,POINT (-73.91778363799993 40.841584606000026)
BROOKLYN,MULTI DWELL - PUBLIC HOUS,76,983439,185086,40.67470324,-74.00292517,POINT (-74.00292516799993 40.674703240000035)
MANHATTAN,MULTI DWELL - PUBLIC HOUS,25,1002785,230463,40.79923249,-73.9330562,POINT (-73.93305619799997 40.799232486000044)
QUEENS,MULTI DWELL - PUBLIC HOUS,107,1036732,207396,40.73578328,-73.8106258,POINT (-73.81062580299994 40.73578327800004)
MANHATTAN,MULTI DWELL - PUBLIC HOUS,23,999218,230194,40.79850092,-73.94594019,POINT (-73.94594018899994 40.798500915000034)
STATEN ISLAND,MULTI DWELL - APT BUILD,120,960041,163798,40.61623922,-74.08720051,POINT (-74.08720051399997 40.616239224000026)
STATEN ISLAND,PVT HOUSE,121,939707,167850,40.62728221,-74.16046872,POINT (-74.16046872499999 40.62728220800005)
MANHATTAN,COMMERCIAL BLDG,19,999095,224575,40.78307848,-73.94639686,POINT (-73.94639685599996 40.78307848000002)
BRONX,MULTI DWELL - PUBLIC HOUS,40,1005710,233682,40.80806114,-73.92248131,POINT (-73.92248131399998 40.80806113500005)
MANHATTAN,MULTI DWELL - PUBLIC HOUS,28,998007,230362,40.798964,-73.95031372,POINT (-73.95031371999994 40.79896399800003)
BROOKLYN,GROCERY/BODEGA,75,1017442,184924,40.6741964,-73.88034234,POINT (-73.88034234199995 40.674196403000046)
MANHATTAN,MULTI DWELL - PUBLIC HOUS,24,994327,230100,40.79824984,-73.96360559,POINT (-73.96360558899994 40.79824984200008)
MANHATTAN,GROCERY/BODEGA,34,1005596,254339,40.86475888,-73.92282738,POINT (-73.92282737999993 40.86475888300004)
STATEN ISLAND,PVT HOUSE,121,947616,169116,40.63079335,-74.13198327,POINT (-74.13198327299993 40.63079334600008)
BRONX,MULTI DWELL - PUBLIC HOUS,43,1017215,240131,40.82572638,-73.88089007,POINT (-73.880890073 40.82572638400006)
BRONX,DEPT STORE,44,1007961,246839,40.84416759,-73.91430352,POINT (-73.91430351799994 40.84416759000004)
BROOKLYN,MULTI DWELL - PUBLIC HOUS,90,1001079,195776,40.70402887,-73.93930478,POINT (-73.93930477999999 40.70402887300003)
MANHATTAN,MULTI DWELL - PUBLIC HOUS,9,991391,203282,40.72464418,-73.97423824,POINT (-73.97423824399993 40.72464417500004)
BRONX,MULTI DWELL - PUBLIC HOUS,43,1022126,238820,40.82210837,-73.86315274,POINT (-73.86315274099996 40.82210837100007)
QUEENS,GAS STATION,106,1028502,187094,40.68010418,-73.84045622,POINT (-73.840456224 40.68010417800008)
